1000 20 10000
674	16	0.5
746	20	0.6
784	11	2.4
625	5	4.8
737	2	1.0
669	12	3.5
282	12	2.6
426	8	2.3
78	11	1.9
397	19	2.5
190	16	2.2
19	3	2.2
948	13	4.2
647	4	0.7
237	19	3.6
611	9	1.3
242	7	3.7
345	15	0.6
337	17	2.1
240	9	0.8
753	20	1.3
352	3	2.6
611	7	3.6
142	19	0.1
666	5	2.5
461	9	1.8
791	14	2.0
221	1	1.1
889	14	2.4
336	19	1.8
322	17	1.8
906	9	4.7
489	4	1.9
22	15	1.8
741	8	1.1
686	18	4.2
938	4	2.9
701	3	4.2
609	10	2.6
279	12	1.3
902	3	0.4
525	18	0.4
590	9	3.5
613	13	4.5
598	16	1.6
746	4	4.2
342	6	0.6
317	3	0.6
21	2	0.5
478	9	2.9
971	7	0.7
161	17	0.6
436	2	3.3
431	19	4.9
368	16	2.3
818	8	4.2
353	13	3.7
878	9	0.7
556	15	2.8
862	4	2.3
63	20	2.1
500	16	3.2
920	3	4.7
275	17	1.1
575	3	2.5
910	20	4.7
369	12	2.1
471	11	1.6
232	16	0.9
1000	15	4.7
340	11	4.1
634	1	3.6
423	1	2.6
484	10	1.1
939	13	0.7
323	1	3.0
605	9	3.3
557	9	1.8
757	16	0.8
332	11	2.4
551	14	0.9
641	14	3.9
505	10	3.8
489	10	2.6
429	14	4.7
752	15	1.2
287	2	4.4
410	4	0.4
867	19	2.9
555	2	2.6
51	11	0.2
712	7	3.4
598	18	3.3
552	9	3.1
892	9	4.1
156	3	4.8
972	13	4.3
864	13	0.5
797	16	3.8
716	15	1.7
593	20	4.6
553	5	0.3
56	5	0.5
902	5	3.8
611	10	4.8
747	20	4.9
930	4	0.6
965	3	0.9
904	1	1.3
253	1	4.8
987	3	1.2
176	4	0.9
654	9	3.6
542	4	0.7
8	11	1.9
747	14	1.2
198	11	4.0
59	10	3.4
525	4	0.9
959	12	3.8
554	12	4.1
334	12	1.6
208	5	2.4
773	13	4.7
166	12	3.6
463	5	3.9
888	4	4.9
230	10	1.4
595	10	1.2
266	13	0.6
664	3	4.6
245	19	4.4
135	15	4.3
861	9	2.8
15	19	0.3
489	16	0.3
185	16	0.9
527	12	2.0
400	12	3.0
680	6	2.8
979	12	4.2
63	2	1.2
365	8	2.8
340	1	1.6
503	9	3.8
139	13	1.5
44	12	4.0
706	6	1.2
792	8	0.5
555	4	2.8
978	5	5.0
26	3	0.4
463	2	0.0
586	6	3.3
414	3	1.9
581	20	2.2
505	16	4.0
904	19	2.1
385	16	2.6
977	6	2.8
376	18	2.4
875	13	0.5
533	17	4.6
238	20	3.4
620	2	1.5
335	19	1.9
836	11	1.2
947	12	2.3
19	5	1.6
507	18	0.3
916	3	3.8
974	13	3.7
524	9	3.1
795	3	1.6
770	3	2.9
168	20	1.8
422	14	2.6
699	19	3.4
235	15	1.8
970	9	4.9
670	2	4.7
57	17	3.9
579	3	3.0
949	9	1.2
605	16	3.3
207	3	0.7
95	15	2.0
622	16	3.7
604	4	3.7
142	13	0.8
579	11	2.5
902	5	1.3
721	18	1.9
92	10	2.2
246	10	0.2
555	19	4.2
821	7	2.6
854	8	3.7
864	11	3.2
695	15	1.7
317	12	5.0
913	14	4.5
277	18	4.0
58	1	3.1
991	13	0.5
157	15	3.4
800	3	4.9
731	13	4.4
219	1	0.4
163	11	4.4
490	10	3.9
539	10	1.2
882	20	1.3
587	6	3.9
328	6	4.2
279	2	0.5
358	1	3.0
359	16	2.4
47	5	3.4
965	9	3.2
608	15	1.4
549	10	3.3
493	1	1.1
227	11	3.3
537	9	1.8
641	8	4.6
483	3	1.5
966	12	2.5
550	13	0.7
741	5	3.6
380	6	1.8
652	7	4.2
288	17	0.3
860	5	4.2
429	8	1.7
880	20	3.3
344	12	0.5
110	16	4.2
822	5	0.5
991	12	2.3
345	10	1.5
656	3	3.7
267	7	3.1
676	1	3.4
887	11	3.6
912	18	3.6
892	19	3.7
422	7	1.6
48	12	3.7
481	1	0.1
388	6	4.4
547	16	1.2
475	19	4.9
159	10	2.4
179	2	3.4
977	5	1.0
303	7	2.4
191	11	4.2
937	6	0.7
127	12	4.5
869	14	0.6
550	12	2.4
696	2	3.6
355	15	2.2
650	6	0.4
40	18	4.1
65	10	3.3
341	1	1.1
81	14	1.9
909	19	2.2
656	18	0.8
278	10	0.5
563	16	4.1
185	13	0.1
731	12	3.2
518	2	3.8
389	6	0.4
227	17	3.0
1000	1	1.8
249	9	4.7
233	19	3.7
832	19	0.2
484	11	4.6
164	19	0.7
191	7	2.7
909	2	2.5
409	19	1.7
845	11	1.4
893	2	0.5
143	10	3.5
549	13	4.1
663	16	4.7
42	2	2.9
691	6	1.6
412	4	0.2
449	10	3.6
601	4	1.0
666	14	2.9
784	5	0.3
452	9	3.5
882	10	3.4
998	16	2.2
476	1	1.3
289	3	4.7
696	3	4.4
224	1	2.3
610	3	4.1
571	4	0.7
323	5	0.3
489	6	2.4
55	4	1.0
857	15	2.5
797	9	3.2
575	2	1.8
130	10	3.7
953	8	4.5
370	4	2.5
234	1	4.7
545	11	0.1
492	15	4.3
156	10	3.7
373	19	1.0
591	6	2.4
891	3	2.6
135	6	2.2
790	9	3.8
122	10	1.1
335	7	4.2
670	16	2.5
619	9	0.6
746	9	2.4
35	9	3.8
806	8	3.5
706	14	2.3
342	13	2.9
794	5	3.8
285	9	4.2
872	6	4.1
82	17	4.1
485	3	0.9
384	2	2.7
639	19	2.8
10	6	3.6
56	19	2.2
329	12	2.2
714	6	0.2
785	19	3.5
135	5	2.0
915	9	2.3
567	13	1.4
137	7	0.7
711	18	2.1
490	6	0.7
186	3	3.6
659	9	2.5
315	16	3.2
965	12	1.6
950	11	4.9
421	16	1.0
974	9	0.6
958	1	2.6
375	17	1.1
927	17	2.1
433	1	4.1
31	17	2.8
556	19	2.0
225	19	3.4
810	4	4.0
302	19	3.6
